note_id,time_onset,time_offset,velocity_onset,velocity_offset,duration,inter_onset_interval,offset_time_duration
P1-484-10,91.33123012,91.53343516,56.96,57.28,0.20220504000000214,0.8872775599999982,-1.0894826000000004
P1-484-13,88.60470104,88.77644944,33.76,51.2,0.17174840000000016,1.2557404799999967,-1.4274888799999972
P1-484-14,88.74638055999999,88.87377508,37.64,61.48,0.12739451999999388,0.14167952000000272,-0.2690740399999967
P1-484-3,89.42977536000001,89.58288388,40.36,55.04,0.15310852000000605,0.6833947999999951,-0.836503320000001
P1-484-7,90.22231136,91.35790028,43.88,46.6,1.1355889200000022,0.06439316000000443,-1.1999820800000065
P1-484-8,90.19525156,91.34934048000001,60.16,50.96,1.1540889200000028,0.7281428400000017,-1.8822317600000045
P1-484-9,91.35049936,91.52510504,46.04,50.76,0.1746056800000015,0.24176515999999837,-0.41637083999999985
P1-485-11,92.9772358,93.14215192000002,37.8,51.84,0.16491612000000472,1.2042169999999985,-1.3691331200000034
P1-485-12,93.11733208,93.25319024000001,40.56,59.36,0.13585816000000445,0.14009627999999424,-0.2759544399999987
P1-485-3,93.80515652,93.96561412,42.0,55.2,0.16045759999999532,0.6878244400000064,-0.8482820400000017
P1-485-5,91.73612892000001,93.97122776,44.44,53.44,2.235098839999994,0.09266032000000907,-2.327759160000003
P1-485-6,91.72025496,94.0634756,52.04,51.48,2.3432206399999966,0.25348195999999756,-2.596702599999994
P1-485-7,94.56143592000001,96.01448348,49.36,51.24,1.453047559999996,0.12235696000000003,-1.5754045199999962
P1-485-8,94.53572864,95.53795624,63.84,47.16,1.0022276000000025,0.6343497999999987,-1.6365774000000013
P1-485-9,91.76381800000001,92.16391396,34.2,46.64,0.40009595999999975,0.06760363999999754,-0.4676995999999973
P1-486-10,99.62341564,99.92833495999999,41.76,51.6,0.3049193200000006,0.11206511999999755,-0.4169844399999982
P1-486-11,99.93657079999998,100.28243108000001,46.64,46.08,0.34586028000000096,0.09138156000000087,-0.43724184000000177
P1-486-12,96.08149716,96.52605996,38.04,44.76,0.4445628,0.15584415999999912,-0.6004069599999992
P1-486-14,97.32703328,97.49332344,36.32,53.08,0.1662901600000026,1.2411772399999947,-1.4074673999999974
P1-486-15,97.4605708,97.609506,42.88,56.72,0.14893519999999608,0.13353752000000585,-0.28247272000000195
P1-486-3,98.13044203999999,98.28235416000001,42.76,53.36,0.15191212000000903,0.6698712399999945,-0.8217833600000034
P1-486-4,98.85876108000001,99.66937732000001,57.76,50.0,0.8106162399999932,0.6909856800000028,-1.501601919999996
