,cat,opt1,opt2,value
0,TEMPO (Time),Stable,Unstable,1
1,ARTICULATION,Short,Long,2
2,ARTICULATION,Cushioned,Solid,2
3,PEDAL,Sparsed,Saturated,1
4,PEDAL,Clean,Blurred,2
5,TONE,Even,Colorful,5
6,TONE,Shallow,Rich,7
7,TONE,Bright,Dark,3
8,TONE,Soft,Loud,5
9,INTENSITY,Sophisticated,Raw,5
10,INTENSITY,Little Dynamic Range,Large Dynamic Range,4
11,MUSIC MAKING,Fast Paced,Slow Paced,2
12,MUSIC MAKING,Flat,Spacious,3
13,MUSIC MAKING,Unbalanced,Balanced,4
14,MUSIC MAKING,Pure,Dramatic,3
15,EMOTION / MOOD,Optimistic,Pessimistic,5
16,EMOTION / MOOD,Low Energy,High Energy,4
17,EMOTION / MOOD,Honest,Imaginative,1
